timestamp,zone,vehicle_count,avg_speed_kmh,congestion_index,is_anomaly
2026-06-26 22:51:20.152326,Mansarovar,751.8,44.1,0.696,False
2026-06-26 23:51:20.152326,Mansarovar,614.0,39.4,0.569,False
2026-06-27 00:51:20.152326,Mansarovar,461.0,46.1,0.427,False
2026-06-27 01:51:20.152326,Mansarovar,436.5,48.7,0.404,False
2026-06-27 02:51:20.152326,Mansarovar,461.3,47.2,0.427,False
2026-06-27 03:51:20.152326,Mansarovar,418.2,48.7,0.387,False
2026-06-27 04:51:20.152326,Mansarovar,480.7,49.3,0.445,False
2026-06-27 05:51:20.152326,Mansarovar,450.8,49.0,0.417,False
2026-06-27 06:51:20.152326,Mansarovar,470.9,52.3,0.436,False
2026-06-27 07:51:20.152326,Mansarovar,715.4,39.5,0.662,False
2026-06-27 08:51:20.152326,Mansarovar,773.8,38.3,0.716,False
2026-06-27 09:51:20.152326,Mansarovar,859.4,37.6,0.796,False
2026-06-27 10:51:20.152326,Mansarovar,486.7,48.7,0.451,False
2026-06-27 11:51:20.152326,Mansarovar,498.0,45.6,0.461,False
2026-06-27 12:51:20.152326,Mansarovar,472.6,50.5,0.438,False
2026-06-27 13:51:20.152326,Mansarovar,523.5,50.4,0.485,False
2026-06-27 14:51:20.152326,Mansarovar,493.0,51.4,0.456,False
2026-06-27 15:51:20.152326,Mansarovar,502.5,54.0,0.465,False
2026-06-27 16:51:20.152326,Mansarovar,523.0,43.0,0.484,False
2026-06-27 17:51:20.152326,Mansarovar,701.0,39.9,0.649,False
2026-06-27 18:51:20.152326,Mansarovar,770.9,44.1,0.714,False
2026-06-27 19:51:20.152326,Mansarovar,671.9,43.5,0.622,False
2026-06-27 20:51:20.152326,Mansarovar,484.6,53.4,0.449,False
2026-06-27 21:51:20.152326,Mansarovar,517.2,47.5,0.479,False
2026-06-27 22:51:20.152326,Mansarovar,488.9,48.0,0.453,False
2026-06-27 23:51:20.152326,Mansarovar,441.6,49.1,0.409,False
2026-06-28 00:51:20.152326,Mansarovar,540.6,44.1,0.501,False
2026-06-28 01:51:20.152326,Mansarovar,484.5,50.0,0.449,False
2026-06-28 02:51:20.152326,Mansarovar,491.3,46.6,0.455,False
